,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 02:23:36.981898,,,,,,,,,
1,Simulation configuration ID,b58712d4-4754-4665-96b2-535cf408e790,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,100.0,aggregator_agent,1017.0,191.0,control_center_agent,0.0,191.0,100.0
1,,,1.0,229.0,generation_agent_1,1014.0,191.0,aggregator_agent,1.0,191.0,230.0
2,,,35.0,28643.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,28643.0
3,,,33.0,28643.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,28643.0
4,,,34.0,28643.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,28644.0
5,,,31.0,28643.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,28644.0
6,,,32.0,28643.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,28645.0
7,,,29.0,28643.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,28645.0
8,,,30.0,28643.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,28643.0
9,,,27.0,28643.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,28643.0
10,,,28.0,28643.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,28645.0
11,,,25.0,28643.0,household_agent_4,1004.0,191.0,household_agent_5,1.0,191.0,28644.0
12,,,26.0,28643.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,28643.0
13,,,23.0,28643.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,28643.0
14,,,24.0,28643.0,household_agent_7,1007.0,191.0,household_agent_6,2.0,191.0,28645.0
15,,,21.0,28643.0,household_agent_6,1006.0,191.0,household_agent_7,1.0,191.0,28644.0
16,,,22.0,28643.0,household_agent_8,1008.0,191.0,household_agent_7,2.0,191.0,28645.0
17,,,19.0,28643.0,household_agent_7,1007.0,191.0,household_agent_8,2.0,191.0,28645.0
18,,,20.0,28643.0,household_agent_9,1009.0,191.0,household_agent_8,0.0,191.0,28643.0
19,,,17.0,28643.0,household_agent_8,1008.0,191.0,household_agent_9,0.0,191.0,28643.0
20,,,18.0,28643.0,household_agent_10,1010.0,191.0,household_agent_9,0.0,191.0,28643.0
21,,,15.0,28643.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,28643.0
22,,,16.0,28643.0,household_agent_11,1011.0,191.0,household_agent_10,1.0,191.0,28644.0
23,,,13.0,28643.0,household_agent_10,1010.0,191.0,household_agent_11,1.0,191.0,28644.0
24,,,14.0,28643.0,household_agent_12,1012.0,191.0,household_agent_11,2.0,191.0,28645.0
25,,,10.0,28643.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,28644.0
26,,,11.0,28643.0,generation_agent_0,1013.0,191.0,household_agent_12,2.0,191.0,28645.0
27,,,6.0,28643.0,household_agent_12,1012.0,191.0,generation_agent_0,1.0,191.0,28644.0
28,,,7.0,28643.0,generation_agent_1,1014.0,191.0,generation_agent_0,0.0,191.0,28643.0
29,,,2.0,4934.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,4934.0
30,,,3.0,4934.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,4934.0
31,,,4.0,28643.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,28643.0
32,,,5.0,28643.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,28643.0
33,,,8.0,28643.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,28643.0
34,,,9.0,28643.0,generation_agent_3,1016.0,191.0,generation_agent_2,2.0,191.0,28645.0
35,,,12.0,28643.0,generation_agent_2,1015.0,191.0,generation_agent_3,2.0,191.0,28645.0
