,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 00:13:54.022542,,,,,,,,,
1,Simulation configuration ID,9df846a1-12fc-490c-9b0a-86c8844a7c3e,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,78.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,78.0
1,,,1.0,130.0,household_agent_9,1009.0,41.0,aggregator_agent,0.0,41.0,130.0
2,,,37.0,1658.0,control_center_agent,1018.0,41.0,aggregator_agent,0.0,41.0,1658.0
3,,,35.0,1060.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,1060.0
4,,,33.0,1060.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,1060.0
5,,,34.0,1060.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,1061.0
6,,,30.0,1060.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,1060.0
7,,,31.0,1060.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,1061.0
8,,,26.0,1060.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,1060.0
9,,,27.0,1060.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,1060.0
10,,,22.0,1060.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,1060.0
11,,,23.0,1060.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,1061.0
12,,,18.0,1060.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,1061.0
13,,,19.0,1060.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,1060.0
14,,,14.0,1060.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,1060.0
15,,,15.0,1060.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,1061.0
16,,,10.0,1060.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,1061.0
17,,,11.0,1060.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,1061.0
18,,,6.0,1060.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,1060.0
19,,,7.0,1060.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,1060.0
20,,,2.0,268.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,268.0
21,,,3.0,268.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,268.0
22,,,4.0,1060.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,1060.0
23,,,5.0,1060.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,1060.0
24,,,36.0,1251.0,aggregator_agent,1017.0,41.0,household_agent_9,0.0,41.0,1251.0
25,,,8.0,1060.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,1060.0
26,,,9.0,1060.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,1061.0
27,,,12.0,1060.0,household_agent_10,1010.0,41.0,household_agent_11,1.0,41.0,1061.0
28,,,13.0,1060.0,household_agent_12,1012.0,41.0,household_agent_11,1.0,41.0,1061.0
29,,,16.0,1060.0,household_agent_11,1011.0,41.0,household_agent_12,0.0,41.0,1060.0
30,,,17.0,1060.0,generation_agent_0,1013.0,41.0,household_agent_12,1.0,41.0,1061.0
31,,,20.0,1060.0,household_agent_12,1012.0,41.0,generation_agent_0,0.0,41.0,1060.0
32,,,21.0,1060.0,generation_agent_1,1014.0,41.0,generation_agent_0,0.0,41.0,1060.0
33,,,24.0,1060.0,generation_agent_0,1013.0,41.0,generation_agent_1,0.0,41.0,1060.0
34,,,25.0,1060.0,generation_agent_2,1015.0,41.0,generation_agent_1,0.0,41.0,1060.0
35,,,28.0,1060.0,generation_agent_1,1014.0,41.0,generation_agent_2,0.0,41.0,1060.0
36,,,29.0,1060.0,generation_agent_3,1016.0,41.0,generation_agent_2,1.0,41.0,1061.0
37,,,32.0,1060.0,generation_agent_2,1015.0,41.0,generation_agent_3,1.0,41.0,1061.0
