,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 00:48:09.495900,,,,,,,,,
1,Simulation configuration ID,f00469ce-5126-4990-ab28-932641a53213,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,64.0,aggregator_agent,1017.0,191.0,control_center_agent,0.0,191.0,64.0
1,,,1.0,228.0,household_agent_12,1012.0,191.0,aggregator_agent,0.0,191.0,228.0
2,,,37.0,2276.0,control_center_agent,1018.0,191.0,aggregator_agent,0.0,191.0,2276.0
3,,,35.0,1143.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,1143.0
4,,,33.0,1143.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,1143.0
5,,,34.0,1143.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,1144.0
6,,,31.0,1143.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,1144.0
7,,,32.0,1143.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,1145.0
8,,,29.0,1143.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,1145.0
9,,,30.0,1143.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,1143.0
10,,,27.0,1143.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,1143.0
11,,,28.0,1143.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,1145.0
12,,,25.0,1143.0,household_agent_4,1004.0,191.0,household_agent_5,1.0,191.0,1144.0
13,,,26.0,1143.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,1143.0
14,,,23.0,1143.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,1143.0
15,,,24.0,1143.0,household_agent_7,1007.0,191.0,household_agent_6,2.0,191.0,1145.0
16,,,21.0,1143.0,household_agent_6,1006.0,191.0,household_agent_7,1.0,191.0,1144.0
17,,,22.0,1143.0,household_agent_8,1008.0,191.0,household_agent_7,2.0,191.0,1145.0
18,,,18.0,1143.0,household_agent_7,1007.0,191.0,household_agent_8,2.0,191.0,1145.0
19,,,19.0,1143.0,household_agent_9,1009.0,191.0,household_agent_8,0.0,191.0,1143.0
20,,,14.0,1143.0,household_agent_8,1008.0,191.0,household_agent_9,0.0,191.0,1143.0
21,,,15.0,1143.0,household_agent_10,1010.0,191.0,household_agent_9,0.0,191.0,1143.0
22,,,10.0,1143.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,1143.0
23,,,11.0,1143.0,household_agent_11,1011.0,191.0,household_agent_10,1.0,191.0,1144.0
24,,,6.0,1143.0,household_agent_10,1010.0,191.0,household_agent_11,1.0,191.0,1144.0
25,,,7.0,1143.0,household_agent_12,1012.0,191.0,household_agent_11,2.0,191.0,1145.0
26,,,2.0,314.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,315.0
27,,,3.0,314.0,generation_agent_0,1013.0,191.0,household_agent_12,1.0,191.0,315.0
28,,,4.0,1143.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,1144.0
29,,,5.0,1143.0,generation_agent_0,1013.0,191.0,household_agent_12,2.0,191.0,1145.0
30,,,36.0,1529.0,aggregator_agent,1017.0,191.0,household_agent_12,0.0,191.0,1529.0
31,,,8.0,1143.0,household_agent_12,1012.0,191.0,generation_agent_0,1.0,191.0,1144.0
32,,,9.0,1143.0,generation_agent_1,1014.0,191.0,generation_agent_0,0.0,191.0,1143.0
33,,,12.0,1143.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,1143.0
34,,,13.0,1143.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,1143.0
35,,,16.0,1143.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,1143.0
36,,,17.0,1143.0,generation_agent_3,1016.0,191.0,generation_agent_2,2.0,191.0,1145.0
37,,,20.0,1143.0,generation_agent_2,1015.0,191.0,generation_agent_3,2.0,191.0,1145.0
