,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 18:59:59.454236,,,,,,,,,
1,Simulation configuration ID,8cb0494e-87eb-47db-ba91-5379ceef88d2,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,100.0,aggregator_agent,1017.0,191.0,control_center_agent,0.0,191.0,100.0
1,,,1.0,291.0,generation_agent_3,1016.0,191.0,aggregator_agent,1.0,191.0,292.0
2,,,37.0,20812.0,control_center_agent,1018.0,191.0,aggregator_agent,0.0,191.0,20812.0
3,,,35.0,15436.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,15436.0
4,,,33.0,15436.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,15436.0
5,,,34.0,15436.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,15437.0
6,,,31.0,15436.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,15437.0
7,,,32.0,15436.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,15438.0
8,,,29.0,15436.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,15438.0
9,,,30.0,15436.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,15436.0
10,,,27.0,15436.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,15436.0
11,,,28.0,15436.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,15438.0
12,,,25.0,15436.0,household_agent_4,1004.0,191.0,household_agent_5,1.0,191.0,15437.0
13,,,26.0,15436.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,15436.0
14,,,23.0,15436.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,15436.0
15,,,24.0,15436.0,household_agent_7,1007.0,191.0,household_agent_6,2.0,191.0,15438.0
16,,,21.0,15436.0,household_agent_6,1006.0,191.0,household_agent_7,1.0,191.0,15437.0
17,,,22.0,15436.0,household_agent_8,1008.0,191.0,household_agent_7,2.0,191.0,15438.0
18,,,19.0,15436.0,household_agent_7,1007.0,191.0,household_agent_8,2.0,191.0,15438.0
19,,,20.0,15436.0,household_agent_9,1009.0,191.0,household_agent_8,0.0,191.0,15436.0
20,,,17.0,15436.0,household_agent_8,1008.0,191.0,household_agent_9,0.0,191.0,15436.0
21,,,18.0,15436.0,household_agent_10,1010.0,191.0,household_agent_9,0.0,191.0,15436.0
22,,,15.0,15436.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,15436.0
23,,,16.0,15436.0,household_agent_11,1011.0,191.0,household_agent_10,1.0,191.0,15437.0
24,,,13.0,15436.0,household_agent_10,1010.0,191.0,household_agent_11,1.0,191.0,15437.0
25,,,14.0,15436.0,household_agent_12,1012.0,191.0,household_agent_11,2.0,191.0,15438.0
26,,,11.0,15436.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,15437.0
27,,,12.0,15436.0,generation_agent_0,1013.0,191.0,household_agent_12,2.0,191.0,15438.0
28,,,9.0,15436.0,household_agent_12,1012.0,191.0,generation_agent_0,1.0,191.0,15437.0
29,,,10.0,15436.0,generation_agent_1,1014.0,191.0,generation_agent_0,0.0,191.0,15436.0
30,,,7.0,15436.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,15436.0
31,,,8.0,15436.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,15436.0
32,,,5.0,15436.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,15436.0
33,,,6.0,15436.0,generation_agent_3,1016.0,191.0,generation_agent_2,2.0,191.0,15438.0
34,,,2.0,15215.0,generation_agent_2,1015.0,191.0,generation_agent_3,1.0,191.0,15216.0
35,,,3.0,15215.0,aggregator_agent,1017.0,191.0,generation_agent_3,1.0,191.0,15216.0
36,,,4.0,15436.0,generation_agent_2,1015.0,191.0,generation_agent_3,2.0,191.0,15438.0
37,,,36.0,13174.0,aggregator_agent,1017.0,191.0,generation_agent_3,1.0,191.0,13175.0
