,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 19:26:18.824327,,,,,,,,,
1,Simulation configuration ID,dc15c96a-e2ff-42c9-bd11-bbd26603afbd,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,55.0,household_agent_2,1002.0,991.0,control_center_agent,1.0,536.0,56.0
1,,,0.0,55.0,household_agent_2,1002.0,991.0,control_center_agent,2.0,455.0,57.0
2,,,9.0,27688.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,27689.0
3,,,9.0,27688.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,27690.0
4,,,5.0,27688.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,27689.0
5,,,5.0,27688.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,27690.0
6,,,6.0,27688.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,27690.0
7,,,6.0,27688.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,27694.0
8,,,1.0,1879.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,1881.0
9,,,1.0,1879.0,household_agent_1,1001.0,991.0,household_agent_2,3.0,455.0,1882.0
10,,,2.0,1879.0,household_agent_3,1003.0,991.0,household_agent_2,2.0,536.0,1881.0
11,,,2.0,1879.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,455.0,1883.0
12,,,3.0,27688.0,household_agent_1,1001.0,991.0,household_agent_2,3.0,536.0,27691.0
13,,,3.0,27688.0,household_agent_1,1001.0,991.0,household_agent_2,6.0,455.0,27694.0
14,,,4.0,27688.0,household_agent_3,1003.0,991.0,household_agent_2,5.0,536.0,27693.0
15,,,4.0,27688.0,household_agent_3,1003.0,991.0,household_agent_2,8.0,455.0,27696.0
16,,,7.0,27688.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,27691.0
17,,,7.0,27688.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,27695.0
18,,,8.0,27688.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,27689.0
19,,,8.0,27688.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,27690.0
20,,,10.0,27688.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,27689.0
21,,,10.0,27688.0,household_agent_3,1003.0,991.0,household_agent_4,2.0,455.0,27690.0
22,,,11.0,27688.0,household_agent_5,1005.0,991.0,household_agent_4,4.0,536.0,27692.0
23,,,11.0,27688.0,household_agent_5,1005.0,991.0,household_agent_4,8.0,455.0,27696.0
24,,,12.0,27688.0,household_agent_4,1004.0,991.0,household_agent_5,3.0,536.0,27691.0
25,,,12.0,27688.0,household_agent_4,1004.0,991.0,household_agent_5,7.0,455.0,27695.0
26,,,13.0,27688.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,27689.0
27,,,13.0,27688.0,household_agent_6,1006.0,991.0,household_agent_5,2.0,455.0,27690.0
28,,,14.0,27688.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,27689.0
29,,,14.0,27688.0,household_agent_5,1005.0,991.0,household_agent_6,2.0,455.0,27690.0
30,,,15.0,27688.0,household_agent_7,1007.0,991.0,household_agent_6,2.0,536.0,27690.0
31,,,15.0,27688.0,household_agent_7,1007.0,991.0,household_agent_6,6.0,455.0,27694.0
32,,,16.0,27688.0,household_agent_6,1006.0,991.0,household_agent_7,3.0,536.0,27691.0
33,,,16.0,27688.0,household_agent_6,1006.0,991.0,household_agent_7,7.0,455.0,27695.0
34,,,17.0,27688.0,household_agent_8,1008.0,991.0,household_agent_7,5.0,536.0,27693.0
35,,,17.0,27688.0,household_agent_8,1008.0,991.0,household_agent_7,9.0,455.0,27697.0
36,,,18.0,27688.0,household_agent_7,1007.0,991.0,household_agent_8,4.0,536.0,27692.0
37,,,18.0,27688.0,household_agent_7,1007.0,991.0,household_agent_8,8.0,455.0,27696.0
38,,,19.0,27688.0,household_agent_9,1009.0,991.0,household_agent_8,1.0,536.0,27689.0
39,,,19.0,27688.0,household_agent_9,1009.0,991.0,household_agent_8,2.0,455.0,27690.0
40,,,20.0,27688.0,household_agent_8,1008.0,991.0,household_agent_9,1.0,536.0,27689.0
41,,,20.0,27688.0,household_agent_8,1008.0,991.0,household_agent_9,2.0,455.0,27690.0
42,,,21.0,27688.0,household_agent_10,1010.0,991.0,household_agent_9,1.0,536.0,27689.0
43,,,21.0,27688.0,household_agent_10,1010.0,991.0,household_agent_9,2.0,455.0,27690.0
44,,,22.0,27688.0,household_agent_9,1009.0,991.0,household_agent_10,1.0,536.0,27689.0
45,,,22.0,27688.0,household_agent_9,1009.0,991.0,household_agent_10,2.0,455.0,27690.0
46,,,23.0,27688.0,household_agent_11,1011.0,991.0,household_agent_10,3.0,536.0,27691.0
47,,,23.0,27688.0,household_agent_11,1011.0,991.0,household_agent_10,7.0,455.0,27695.0
48,,,24.0,27688.0,household_agent_10,1010.0,991.0,household_agent_11,5.0,536.0,27693.0
49,,,24.0,27688.0,household_agent_10,1010.0,991.0,household_agent_11,8.0,455.0,27696.0
50,,,25.0,27688.0,household_agent_12,1012.0,991.0,household_agent_11,2.0,536.0,27690.0
51,,,25.0,27688.0,household_agent_12,1012.0,991.0,household_agent_11,6.0,455.0,27694.0
52,,,26.0,27688.0,household_agent_11,1011.0,991.0,household_agent_12,2.0,536.0,27690.0
53,,,26.0,27688.0,household_agent_11,1011.0,991.0,household_agent_12,6.0,455.0,27694.0
54,,,27.0,27688.0,generation_agent_0,1013.0,991.0,household_agent_12,4.0,536.0,27692.0
55,,,27.0,27688.0,generation_agent_0,1013.0,991.0,household_agent_12,7.0,455.0,27695.0
56,,,28.0,27688.0,household_agent_12,1012.0,991.0,generation_agent_0,4.0,536.0,27692.0
57,,,28.0,27688.0,household_agent_12,1012.0,991.0,generation_agent_0,8.0,455.0,27696.0
58,,,29.0,27688.0,generation_agent_1,1014.0,991.0,generation_agent_0,1.0,536.0,27689.0
59,,,29.0,27688.0,generation_agent_1,1014.0,991.0,generation_agent_0,2.0,455.0,27690.0
60,,,30.0,27688.0,generation_agent_0,1013.0,991.0,generation_agent_1,1.0,536.0,27689.0
61,,,30.0,27688.0,generation_agent_0,1013.0,991.0,generation_agent_1,2.0,455.0,27690.0
62,,,31.0,27688.0,generation_agent_2,1015.0,991.0,generation_agent_1,1.0,536.0,27689.0
63,,,31.0,27688.0,generation_agent_2,1015.0,991.0,generation_agent_1,2.0,455.0,27690.0
64,,,32.0,27688.0,generation_agent_1,1014.0,991.0,generation_agent_2,1.0,536.0,27689.0
65,,,32.0,27688.0,generation_agent_1,1014.0,991.0,generation_agent_2,2.0,455.0,27690.0
66,,,33.0,27688.0,generation_agent_3,1016.0,991.0,generation_agent_2,4.0,536.0,27692.0
67,,,33.0,27688.0,generation_agent_3,1016.0,991.0,generation_agent_2,7.0,455.0,27695.0
68,,,34.0,27688.0,generation_agent_2,1015.0,991.0,generation_agent_3,4.0,536.0,27692.0
69,,,34.0,27688.0,generation_agent_2,1015.0,991.0,generation_agent_3,7.0,455.0,27695.0
